feature,importance
spatial_exhaustion_damage_colocalization,9.717585479240436e-05
bulk_INFLAMMATORY_RESPONSE_mean,9.657392504023918e-05
mech_count_nk_cell_max,9.651589068319151e-05
spatial_TREG_q95,9.562495402646441e-05
mech_count_macrophage_final,9.530510460535915e-05
bulk_T_CELL_CYTOTOXIC_mean,9.469324879605739e-05
bulk_MACROPHAGE_mean,9.427192072078247e-05
bulk_TREG_FOXP3_IL2RA_CTLA4_mean,9.187986703384731e-05
bulk_APOPTOSIS_mean,9.144088284293455e-05
mech_total_cells_final,8.993313973621902e-05
bulk_TNF_NFKB_q90,8.906554677708777e-05
mech_count_t_cell_final,8.862041211953362e-05
rna_TNF_NFKB_gene06_logCPM,8.63508145760175e-05
spatial_TGFB_SIGNALING_q95,8.377938096346294e-05
bulk_APOPTOSIS_q90,8.364662935905766e-05
bulk_EMT_FIBROSIS_std,8.36238054460003e-05
rna_ECM_REMODELING_spatial_var_proxy,8.355937645743772e-05
mech_macrophage_cytotoxic_program_mean_final,8.260486946318568e-05
rna_ECM_STROMAL_BARRIER_gene02_logCPM,8.253602806224956e-05
rna_DAMAGE_STRESS_gene01_logCPM,8.08629009992364e-05
bulk_TREG_q90,8.053998398352591e-05
mech_t_cell_IFNG_response_mean_final,8.049215201517852e-05
rna_TREG_FOXP3_IL2RA_CTLA4_spatial_var_proxy,7.965905922651055e-05
rna_HYPOXIA_gene05_logCPM,7.745277196209654e-05
rna_EXHAUSTION_PD1_LAG3_TIM3_gene01_logCPM,7.65170944699973e-05
bulk_NK_CELL_mean,7.236122724641414e-05
mech_macrophage_cytotoxic_program_mean_auc,7.148493979188747e-05
mech_mean_activation_q50,6.661348553007064e-05
spatial_regulatory_heterogeneity,6.609981071417841e-05
rna_TREG_FOXP3_IL2RA_CTLA4_gene03_logCPM,6.554019903981738e-05
rna_TGFB_SIGNALING_gene03_logCPM,6.499488454063584e-05
spatial_APOPTOSIS_var,6.406453909123267e-05
rna_WOUND_HEALING_gene06_logCPM,6.401784103237315e-05
spatial_IL6_JAK_STAT3_var,6.266682139955902e-05
spatial_IFNG_RESPONSE_var,6.0765516367644015e-05
bulk_TNF_NFKB_std,5.9466097860513214e-05
spatial_fibrosis_cytotoxic_inverse_corr,5.946609786051321e-05
spatial_IFNG_RESPONSE_q95,5.9441252229047e-05
bulk_M2_REPAIR_CD163_MRC1_IL10_q90,5.750151935350712e-05
bulk_M2_REPAIR_CD163_MRC1_IL10_mean,5.533452980933197e-05
rna_TGFB_SIGNALING_spatial_var_proxy,5.503670410772069e-05
rna_ECM_STROMAL_BARRIER_module_sd_logCPM,5.388898868331238e-05
spatial_NK_CELL_moran_proxy,5.286558003831321e-05
rna_TNF_NFKB_module_sd_logCPM,5.189712835889747e-05
rna_MACROPHAGE_gene05_logCPM,5.0530145442601985e-05
mech_count_treg_final,4.8903988841975095e-05
rna_MYELOID_SUPPRESSION_spatial_var_proxy,4.7990673252910906e-05
rna_EMT_FIBROSIS_gene01_logCPM,4.6510132564594434e-05
rna_TREG_module_sd_logCPM,3.983931476378606e-05
mech_nk_cell_IFNG_response_mean_final,3.4077960434068e-05
rna_NK_CELL_spatial_var_proxy,3.353652653411315e-05
spatial_cytotoxic_damage_colocalization,3.3505869304002174e-05
rna_EXHAUSTION_PD1_LAG3_TIM3_gene04_logCPM,3.342261504110521e-05
rna_CYTOTOXICITY_GZMB_PRF1_NKG7_gene03_logCPM,3.284844699842241e-05
spatial_cytotoxic_damage_hotspot_distance,3.2731041756323404e-05
rna_DAMAGE_STRESS_gene05_logCPM,3.271052493850418e-05
